show_id,title,normalized_title,dtli_slug,ibdb_id,show_type,is_revival,opening_date,closing_date,theater,capitalization,source_dtli,source_ibdb,source_bww,created_at,updated_at
1669,Chairs and a Long Table,chairs and a long table,chairs-and-a-long-table,,,0,2014-11-06,,Clurman Theatre,,1,0,0,2026-05-21 01:56:48,2026-05-21 02:22:20
1661,Sticks and Bones,sticks and bones,sticks-and-bones,,,0,2014-11-06,,The Pershing Square Signature Center,,1,0,0,2026-05-21 01:56:48,2026-05-21 02:22:24
1664,The Band Wagon,band wagon,the-band-wagon,,,0,2014-11-06,,New York City Center,,1,0,0,2026-05-21 01:56:48,2026-05-21 02:22:20
1689,Pitbulls,pitbulls,pitbulls,,,0,2014-11-07,,Rattlestick Theatre,,1,0,0,2026-05-21 01:56:48,2026-05-21 02:22:13
1674,Radio City Christmas Spectacular,radio city christmas spectacular,radio-city-christmas-spectacular,,,0,2014-11-07,,Radio City Music Hall,,1,0,0,2026-05-21 01:56:48,2026-05-21 02:22:17
1681,Straight White Men,straight white men,straight-white-men,,,0,2014-11-07,,Public Theater,,1,0,1,2026-05-21 01:56:48,2026-05-21 02:22:15
1662,You Got Older,you got older,you-got-older,,,0,2014-11-07,,HERE Arts Center,,1,0,0,2026-05-21 01:56:48,2026-05-21 02:22:21
1670,Basetrack Live,basetrack live,basetrack-live,,,0,2014-11-11,,BAM Harvey Theater,,1,0,0,2026-05-21 01:56:48,2026-05-21 02:22:19
1668,Lost Lake,lost lake,lost-lake,,,0,2014-11-11,,MTC - Stage 1,,1,0,0,2026-05-21 01:56:48,2026-05-21 02:21:14
1694,"Pericles, Prince of Tyre",pericles prince of tyre,pericles-prince-of-tyre,,,0,2014-11-11,,Public Theater,,1,0,0,2026-05-21 01:56:48,2026-05-21 02:22:06
1671,Grand Concourse,grand concourse,grand-concourse,,,0,2014-11-12,,Playwrights Horizons,,1,0,0,2026-05-21 01:56:48,2026-05-21 02:22:18
1673,Lypsinka! The Trilogy,lypsinka the trilogy,lypsinka-the-trilogy,,,0,2014-11-13,,Connelly Theater,,1,0,0,2026-05-21 01:56:48,2026-05-21 02:22:16
1688,Asymmetric,asymmetric,asymmetric,,,0,2014-11-14,,59E59 Theaters,,1,0,0,2026-05-21 01:56:48,2026-05-21 02:22:14
1698,On a Stool at the End of the Bar,on a stool at the end of the bar,on-a-stool-at-the-end-of-the-bar,,,0,2014-11-14,,59E59 Theaters,,1,0,0,2026-05-21 01:56:48,2026-05-21 02:22:03
1672,The Strange Case of Dr. Jekyll and Mr. Hyde,strange case of dr jekyll and mr hyde,the-strange-case-of-dr-jekyll-and-mr-hyde,,,0,2014-11-14,,Abingdon Theatre Arts Complex,,1,0,0,2026-05-21 01:56:48,2026-05-21 02:22:18
1676,Our Lady of Kibeho,our lady of kibeho,our-lady-of-kibeho,,,0,2014-11-16,,Signature Theatre,,1,0,0,2026-05-21 01:56:48,2026-05-21 02:22:17
1675,The River,river,the-river,,,0,2014-11-16,,Circle in the Square,,1,0,1,2026-05-21 01:56:48,2026-05-21 02:21:54
1697,Tristan & Yseult,tristan yseult,tristan-yseult,,,0,2014-11-16,,St. Ann's Warehouse,,1,0,0,2026-05-21 01:56:48,2026-05-21 02:22:03
1687,Blank! The Musical,blank the musical,blank-the-musical,,,0,2014-11-17,,New World Stages,,1,0,0,2026-05-21 01:56:48,2026-05-21 02:22:05
1678,I See You,i see you,i-see-you,,,0,2014-11-17,,The Flea Theater,,1,0,0,2026-05-21 01:56:48,2026-05-21 02:22:16
1679,Punk Rock,punk rock,punk-rock,,,0,2014-11-17,,Lucille Lortel Theatre,,1,0,0,2026-05-21 01:56:48,2026-05-21 02:22:17
1677,Side Show,side show,side-show,,,0,2014-11-17,,St. James Theatre,,1,0,1,2026-05-21 01:56:48,2026-05-21 02:21:53
1682,By the Water,by the water,by-the-water,,,0,2014-11-18,,MTC,,1,0,0,2026-05-21 01:56:48,2026-05-21 02:21:16
1683,Allegro,allegro,allegro,,,0,2014-11-19,,Classic Stage Comp.,,1,0,0,2026-05-21 01:56:48,2026-05-21 02:22:15
1709,The Invisible Hand,invisible hand,the-invisible-hand,,,0,2014-11-19,,NY Theatre Workshop,,1,0,0,2026-05-21 01:56:48,2026-05-21 02:21:58
1684,The Underclassman,underclassman,the-underclassman,,,0,2014-11-19,,Duke on 42nd Street,,1,0,0,2026-05-21 01:56:48,2026-05-21 02:22:14
1685,A Delicate Balance,delicate balance,a-delicate-balance,,,0,2014-11-20,,John Golden Theatre,,1,0,0,2026-05-21 01:56:48,2026-05-21 02:21:52
1161,Rollo's Wild Oat,rollos wild oat,rock-'n'-roll,,,0,2014-11-20,,Metropolitan Playhouse,,1,0,0,2026-05-21 01:56:38,2026-05-21 02:30:34
1699,Rollo's Wild Oat,rollos wild oat,rollos-wild-oat,,,0,2014-11-20,,Metropolitan Playhouse,,1,0,0,2026-05-21 01:56:48,2026-05-21 02:22:04
1713,Pocatello,pocatello,pocatello,,,0,2014-11-21,,Playwrights Horizons,,1,0,0,2026-05-21 01:56:48,2026-05-21 02:21:56
1704,War,war,war,,,0,2014-11-21,,Yale Repertory Theatre,,1,0,0,2026-05-21 01:56:48,2026-05-21 02:22:01
1690,A Particle of Dread,particle of dread,a-particle-of-dread,,,0,2014-11-23,,Signature Theatre,,1,0,0,2026-05-21 01:56:48,2026-05-21 02:22:06
1693,"Me, My Mouth & I",me my mouth i,me-my-mouth-i,,,0,2014-11-23,,Cherry Lane Theatre,,1,0,0,2026-05-21 01:56:48,2026-05-21 02:21:50
1701,A Christmas Memory,christmas memory,a-christmas-memory,,,0,2014-11-25,,DR2 Theatre,,1,0,0,2026-05-21 01:56:48,2026-05-21 02:22:02
1696,Swamp Juice,swamp juice,swamp-juice,,,0,2014-11-28,,Barrow Street Theatre,,1,0,0,2026-05-21 01:56:48,2026-05-21 02:21:56
1702,On the Other Side of the River,on the other side of the river,on-the-other-side-of-the-river,,,0,2014-11-29,,HERE Arts Center,,1,0,0,2026-05-21 01:56:48,2026-05-21 02:22:01
1714,Horse Girls,horse girls,horse-girls,,,0,2014-12-03,,Cell Theatre,,1,0,0,2026-05-21 01:56:48,2026-05-21 02:21:55
1706,Send for the Million Men,send for the million men,send-for-the-million-men,,,0,2014-12-03,,HERE Arts Center,,1,0,0,2026-05-21 01:56:48,2026-05-21 02:22:01
1717,Disenchanted!,disenchanted,disenchanted,,,0,2014-12-04,,37 Arts Theatre,,1,0,0,2026-05-21 01:56:48,2026-05-21 02:21:51
1700,The Illusionists,illusionists,the-illusionists,,,0,2014-12-04,,Marquis Theatre,,1,0,0,2026-05-21 01:56:48,2026-05-21 02:21:45
1705,Cirque Zíva,cirque zva,cirque-ziva,,,0,2014-12-05,,New Victory Theater,,1,0,0,2026-05-21 01:56:48,2026-05-21 02:22:01
1708,Dr. Seuss’ How the Grinch Stole Christmas! The Musical,dr seuss how the grinch stole christmas the musical,dr-seuss-how-the-grinch-stole-christmas-the-musical-2,,,0,2014-12-05,,Madison Square Garden,,1,0,0,2026-05-21 01:56:48,2026-05-21 02:21:58
1710,Every Brilliant Thing,every brilliant thing,every-brilliant-thing,,,0,2014-12-05,,Barrow Street Theatre,,1,0,1,2026-05-21 01:56:48,2026-05-21 02:21:57
1707,The Asphalt Christmas,asphalt christmas,the-asphalt-christmas,,,0,2014-12-05,,Theatre Row Complex,,1,0,0,2026-05-21 01:56:48,2026-05-21 02:21:59
1711,War Lesbian,war lesbian,war-lesbian,,,0,2014-12-05,,Dixon Place,,1,0,0,2026-05-21 01:56:48,2026-05-21 02:21:57
1703,The Elephant Man,elephant man,the-elephant-man-2,,,0,2014-12-07,,Booth Theatre,,1,0,0,2026-05-21 01:56:48,2026-05-21 02:21:32
1720,Dying for It,dying for it,dying-for-it,,,0,2014-12-11,,Atlantic Theater,,1,0,0,2026-05-21 01:56:48,2026-05-21 02:21:46
1712,Nella Tempesta,nella tempesta,nella-tempesta,,,0,2014-12-11,,La MaMa E.T.C.,,1,0,0,2026-05-21 01:56:48,2026-05-21 02:21:57
1715,Cafe Society Swing,cafe society swing,cafe-society-swing,,,0,2014-12-16,,59E59 Theaters,,1,0,0,2026-05-21 01:56:48,2026-05-21 02:21:51
1716,My Son the Waiter: A Jewish Tragedy,my son the waiter a jewish tragedy,my-son-the-waiter-a-jewish-tragedy,,,0,2014-12-28,,The Triad Theater,,1,0,0,2026-05-21 01:56:48,2026-05-21 02:21:52
1718,The Temptations & The Four Tops,temptations the four tops,the-temptations-the-four-tops,,,0,2014-12-29,,Palace Theatre,,1,0,0,2026-05-21 01:56:48,2026-05-21 02:21:48
1719,Winners and Losers,winners and losers,winners-and-losers,,,0,2015-01-04,,Soho Repertory,,1,0,0,2026-05-21 01:56:48,2026-05-21 02:21:47
1721,Sorry Robot,sorry robot,sorry-robot,,,0,2015-01-06,,New Ohio Theatre,,1,0,0,2026-05-21 01:56:48,2026-05-21 02:21:45
1725,Ancient Lives,ancient lives,ancient-lives,,,0,2015-01-07,,The Kitchen,,1,0,0,2026-05-21 01:56:48,2026-05-21 02:21:43
1736,I’m Gonna Pray for You So Hard,im gonna pray for you so hard,im-gonna-pray-for-you-so-hard,,,0,2015-01-07,,Atlantic Theater,,1,0,0,2026-05-21 01:56:48,2026-05-21 02:21:38
1723,The Blind Date Project,blind date project,the-blind-date-project,,,0,2015-01-07,,Parkside Lounge,,1,0,0,2026-05-21 01:56:48,2026-05-21 02:21:44
1734,Ham: A Musical Memoir,ham a musical memoir,ham-a-musical-memoir,,,0,2015-01-08,,Ars Nova,,1,0,0,2026-05-21 01:56:48,2026-05-21 02:21:40
1724,Kansas City Choir Boy,kansas city choir boy,kansas-city-choir-boy,,,0,2015-01-08,,HERE Arts Center,,1,0,0,2026-05-21 01:56:48,2026-05-21 02:21:43
